mid_date,start_date,end_date,volume,elevation,alongshore_centroid_m,alongshore_start_m,alongshore_end_m,width,height,vol_unc,month,qc_flag
2023-08-18,2023-08-15,2023-08-22,126.6985552977554,4.396395801185964,1864.581389477788,1854.5105373212136,1878.486815912649,23.976278591435403,3.25,0.3772324763991693,8,real
2019-08-01,2019-07-18,2019-08-15,113.05008197900486,4.046084289575257,1868.3201519766917,1860.3824952756984,1878.7314806012437,18.348985325545073,3.0,0.373417255465009,8,real
2023-08-18,2023-08-15,2023-08-22,102.30329808378956,4.905128228888195,1846.122081077183,1837.1543145240285,1852.0630075726656,14.90869304863736,3.25,0.6095409599875059,8,real
2018-09-25,2018-09-11,2018-10-09,97.08708247592445,4.15232620406103,1867.898865192334,1860.6271599656905,1878.7314806012437,18.10432063555345,3.5,0.3353977979799227,9,real
2019-08-29,2019-08-15,2019-09-12,79.92746766860175,21.682478785814197,1591.9843654098745,1588.660537413787,1595.7549290657043,7.094391651917249,11.25,0.4310284806992758,8,real
2018-09-25,2018-09-11,2018-10-09,77.98943294674179,4.740849248152401,1844.7151250414956,1836.422964587342,1849.3716932847165,12.948728697374465,3.5,0.3143310548091889,9,real
2018-12-29,2018-12-03,2019-01-24,76.36246378783825,3.7668544883714583,1615.648809391201,1611.6590068875812,1619.242727478966,7.583720591384917,1.5,0.0827032659553597,12,needs_check
2019-12-28,2019-12-12,2020-01-13,71.7610164330241,9.017666696915816,1591.6205398528414,1585.7245627958328,1596.733587435447,11.009024639613926,10.0,0.27183116404413,12,real
2023-09-09,2023-09-05,2023-09-14,64.46158135480357,4.967078067168683,1848.3198590774712,1844.723941875156,1851.3290127660148,6.605070890858769,3.25,0.4992167856608099,9,real
2023-10-01,2023-09-29,2023-10-03,63.354389576744595,5.259593483299343,1846.236013533988,1841.2986337663608,1849.861023155041,8.562389388680458,3.25,0.3306052176572953,10,real
2018-12-29,2018-12-03,2019-01-24,59.005475109213975,3.7534081298374695,1382.738123803715,1357.9176769056355,1425.9334632661194,68.01578636048362,2.5,0.2931003189225346,12,real
2019-08-01,2019-07-18,2019-08-15,58.91024374452912,4.391350575343366,1321.315100733224,1317.0587618593129,1324.1531417286023,7.094379869289696,2.25,0.2031391983064808,8,real
2018-12-29,2018-12-03,2019-01-24,58.721687524462176,3.7122027818391694,1312.7699820006865,1290.635034202598,1328.5570965027437,37.922062300145626,2.5,0.2757244144736379,12,real
2020-01-25,2020-01-13,2020-02-07,52.65780406781406,3.821434150982765,1867.032949745791,1860.137830585707,1874.816842620261,14.679012034554034,3.0,0.3507473185734765,1,real
2022-08-13,2022-08-11,2022-08-15,51.46741987127314,4.605343630906361,56.08403114067417,54.40145734325051,57.98568109469488,3.5842237514443696,1.5,0.3710452169289718,8,real
2019-04-03,2019-03-19,2019-04-18,50.68763343187535,3.605966395837617,1313.7916425214569,1302.623577751685,1323.663813421037,21.04023566935211,2.25,0.3169335491731986,4,real
